gene,log2fc,pval,neg_log10_pval
'ALDH1A1',1.6350335433421412,3.753630730666092e-16,15.425548454016804
'GSTO2',1.6329840121718706,2.440606044559406e-24,23.612502317461903
'MRPS22',1.6300061932287258,3.0333867494912137e-39,38.51807221466065
'SOX15',1.6299368742269074,4.853405894481747e-62,61.313953386747286
'MALL',1.6284753904674938,8.849495156155762e-31,30.05308150412133
'RPA1',1.625829230446862,1.0520783712767956e-47,46.97795190757267
'C7orf49',1.62470780300871,6.171496826663487e-33,32.209609489982775
'DPH2',1.6185913092694668,5.097229960514176e-29,28.29266577286028
'PRMT5',1.6183188661587868,1.1451846274918412e-44,43.94112449040967
'GPN1',1.6165607017558379,5.002189668733152e-44,43.30083984508802
'MEST',1.6128058565405003,4.328787141142846e-25,24.363633769164878
'TKT',1.605877300948106,6.551167106054809e-68,67.18368132251709
'FABP4',1.6048976230670038,0.0002817484838433352,3.5501384123191047
'IGFBP3',1.6021380381881491,7.045889642893062e-20,19.152064163291865
'AARS',1.6005214188211183,7.795363503442783e-44,43.1081636285369
'PCID2',1.5998887509480224,4.9316345346240585e-33,32.307009114857536
'PPIH',1.5985317444416698,7.751021165446688e-30,29.11064107719646
'TGFBI',1.595102616016818,5.784601335700514e-50,49.23772656647393
'MTERFD1',1.5878272308295194,2.086700979077898e-31,30.680539780182553
'ABCB6',1.5876286635702046,1.178691934381393e-24,23.928599688272755
'SLC25A1',1.5805481359567448,3.7467063800649655e-31,30.426350340136533
'OAS2',1.5783927907998663,3.061225659803668e-30,29.514104654984415
'LYPD3',1.577905046142021,2.364933018853613e-54,53.626181155118225
'CLCA2',1.5777150668819122,1.0900576044800011e-60,59.962550551007304
'PSMD14',1.5704865072068332,4.677453971870745e-62,61.32999047744867
'TRIM16L',1.567185294970864,4.553577491365315e-19,18.34164726833685
'PCGF1',1.564132151999765,1.089737491987601e-26,25.962678107115913
'CTSL2',1.5619274602560995,2.178672004843569e-35,34.6618081470867
'USP10',1.5612806745720362,1.1125637905603825e-60,59.95367507868938
'ST6GALNAC2',1.5525545339324502,4.731266498920058e-37,36.32502258867713
'TUBG1',1.5516811608967913,4.028326721609472e-34,33.394875312786304
'FBLN1',1.550256313492602,3.117319091457797e-48,47.50621874069187
'MTX2',1.5497739419803986,3.913807850238476e-44,43.4074004999937
'NUP54',1.5450736389543693,7.655095451400401e-36,35.1160493897132
'NDUFA4L2',1.5430023460272864,1.1948678118698929e-24,23.92268013802205
'KEAP1',1.542351696392967,2.064410784179677e-43,42.68520388090538
'CINP',1.5416160241228367,5.1375348725790316e-26,25.289245217200108
'RAE1',1.5414160479261594,2.646165635628379e-40,39.57738297481669
